## SL2 field_label weight(automorphic) level(HNF) cusp-dim new-cusp-dim
2.0.19.1 2 [323,47,1] 3 1
2.0.19.1 3 [323,47,1] 4 0
2.0.19.1 2 [324,0,18] 43 18
2.0.19.1 3 [324,0,18] 90 25
2.0.19.1 2 [329,134,1] 5 5
2.0.19.1 2 [329,194,1] 5 5
2.0.19.1 2 [329,288,1] 1 1
2.0.19.1 2 [329,40,1] 1 1
2.0.19.1 2 [332,74,2] 2 0
2.0.19.1 2 [332,90,2] 2 0
2.0.19.1 2 [340,108,2] 9 1
2.0.19.1 2 [340,128,2] 6 0
2.0.19.1 2 [340,40,2] 6 0
2.0.19.1 2 [340,60,2] 9 1
2.0.19.1 2 [343,162,1] 0 0
2.0.19.1 3 [343,162,1] 10 0
2.0.19.1 2 [343,180,1] 0 0
2.0.19.1 3 [343,180,1] 10 0
2.0.19.1 2 [343,35,7] 17 7
2.0.19.1 2 [343,7,7] 17 7
2.0.19.1 2 [347,18,1] 0 0
2.0.19.1 3 [347,18,1] 2 0
2.0.19.1 2 [347,328,1] 0 0
2.0.19.1 3 [347,328,1] 2 0
2.0.19.1 2 [349,110,1] 0 0
2.0.19.1 3 [349,110,1] 2 0
2.0.19.1 2 [349,238,1] 0 0
2.0.19.1 3 [349,238,1] 2 0
2.0.19.1 2 [35,15,1] 0 0
2.0.19.1 3 [35,15,1] 4 0
2.0.19.1 4 [35,15,1] 8 0
2.0.19.1 5 [35,15,1] 8 0
2.0.19.1 2 [35,19,1] 0 0
2.0.19.1 3 [35,19,1] 4 0
2.0.19.1 4 [35,19,1] 8 0
2.0.19.1 5 [35,19,1] 8 0
2.0.19.1 2 [35,29,1] 0 0
2.0.19.1 3 [35,29,1] 4 0
2.0.19.1 4 [35,29,1] 8 0
2.0.19.1 5 [35,29,1] 8 0
2.0.19.1 2 [353,131,1] 0 0
2.0.19.1 3 [353,131,1] 2 0
2.0.19.1 2 [353,221,1] 0 0
2.0.19.1 2 [35,5,1] 0 0
2.0.19.1 3 [35,5,1] 4 0
2.0.19.1 4 [35,5,1] 8 0
2.0.19.1 5 [35,5,1] 8 0
2.0.19.1 2 [359,140,1] 0 0
2.0.19.1 3 [359,140,1] 2 0
2.0.19.1 2 [359,218,1] 0 0
2.0.19.1 3 [359,218,1] 2 0
2.0.19.1 2 [36,0,6] 7 1
2.0.19.1 3 [36,0,6] 18 6
2.0.19.1 4 [36,0,6] 28 8
2.0.19.1 5 [36,0,6] 36 6
2.0.19.1 2 [361,0,19] 21 19
2.0.19.1 3 [361,0,19] 52 49
2.0.19.1 2 [365,269,1] 1 1
2.0.19.1 2 [365,314,1] 1 1
2.0.19.1 2 [365,50,1] 1 1
2.0.19.1 2 [365,95,1] 1 1
2.0.19.1 2 [367,303,1] 1 1
2.0.19.1 3 [367,303,1] 2 0
2.0.19.1 2 [367,63,1] 1 1
2.0.19.1 3 [367,63,1] 2 0
2.0.19.1 2 [368,40,4] 5 1
2.0.19.1 2 [368,48,4] 5 1
